jacoco,Covered,Missed
2021-12-04T23:53,114.0,220.0
2021-12-05T00:08,114.0,220.0
2021-12-05T23:28,116.0,218.0
2021-12-05T23:38,116.0,218.0
2021-12-05T23:46,116.0,218.0
2021-12-05T23:57,116.0,218.0
2021-12-06T00:25,116.0,218.0
2021-12-06T00:28,116.0,218.0
2021-12-06T00:34,116.0,218.0
2021-12-06T00:41,155.0,179.0
2021-12-06T00:48,155.0,179.0
2021-12-06T00:54,157.0,177.0
2021-12-06T01:09,157.0,177.0
2021-12-06T03:56,197.0,175.0
2021-12-06T04:04,197.0,175.0
2021-12-06T04:18,197.0,175.0
2021-12-06T04:33,197.0,175.0
2021-12-06T04:47,197.0,175.0
2021-12-06T04:54,197.0,175.0
2021-12-08T04:26,186.0,226.0
2021-12-08T04:28,186.0,226.0
2021-12-08T04:47,186.0,226.0
2021-12-08T04:50,186.0,226.0
2021-12-08T17:31,184.0,226.0
2021-12-08T19:24,186.0,230.0
2021-12-08T20:27,187.0,227.0
2021-12-08T20:34,187.0,227.0
2021-12-08T20:39,187.0,227.0
2021-12-08T20:40,187.0,227.0
2021-12-09T00:07,187.0,227.0
